Time,GB1,OB1,GM1,HP1,HeatDemand,CO2,Cost
2024-03-01 02:00,4.00,2.98,0.00,0.00,6.98,1683.40,4076.60
2024-03-01 03:00,4.00,3.04,0.00,0.00,7.04,1703.20,4116.80
2024-03-01 04:00,4.00,0.00,0.00,3.72,7.72,700.00,2303.20
2024-03-01 05:00,4.00,3.85,0.00,0.00,7.85,1970.50,4659.50
2024-03-01 06:00,4.00,4.00,0.00,0.15,8.15,2020.00,4769.00
2024-03-01 07:00,4.00,3.62,0.00,0.00,7.62,1894.60,4505.40
2024-03-01 08:00,4.00,3.55,0.00,0.00,7.55,1871.50,4458.50
2024-03-01 09:00,4.00,3.60,0.00,0.00,7.60,1888.00,4492.00
2024-03-01 10:00,4.00,0.00,0.00,3.75,7.75,700.00,2305.00
2024-03-01 11:00,4.00,0.00,0.00,3.06,7.06,700.00,2263.60
2024-03-01 12:00,4.00,0.00,0.00,2.68,6.68,700.00,2240.80
2024-03-01 13:00,4.00,0.00,0.00,2.73,6.73,700.00,2243.80
2024-03-01 14:00,4.00,0.00,0.00,2.84,6.84,700.00,2250.40
2024-03-01 15:00,4.00,0.00,0.00,3.30,7.30,700.00,2278.00
2024-03-01 16:00,4.00,0.00,0.00,3.39,7.39,700.00,2283.40
2024-03-01 17:00,4.00,0.00,0.00,3.68,7.68,700.00,2300.80
2024-03-01 18:00,4.00,0.00,0.00,3.38,7.38,700.00,2282.80
2024-03-01 19:00,4.00,0.00,0.00,3.40,7.40,700.00,2284.00
2024-03-01 20:00,4.00,0.00,0.00,3.56,7.56,700.00,2293.60
2024-03-01 21:00,4.00,0.00,0.00,3.69,7.69,700.00,2301.40
2024-03-01 22:00,4.00,0.00,0.00,3.66,7.66,700.00,2299.60
2024-03-01 23:00,4.00,0.00,0.00,3.54,7.54,700.00,2292.40
2024-03-02 00:00,4.00,0.00,0.00,3.58,7.58,700.00,2294.80
2024-03-02 01:00,4.00,0.00,0.00,3.68,7.68,700.00,2300.80
2024-03-02 02:00,1.71,0.00,0.00,6.00,7.71,299.25,1249.20
2024-03-02 03:00,1.70,0.00,0.00,6.00,7.70,297.50,1244.00
2024-03-02 04:00,2.16,0.00,0.00,6.00,8.16,378.00,1483.20
2024-03-02 05:00,4.00,0.00,0.00,4.45,8.45,700.00,2347.00
2024-03-02 06:00,4.00,0.00,0.00,4.51,8.51,700.00,2350.60
2024-03-02 07:00,4.00,0.00,0.00,3.79,7.79,700.00,2307.40
2024-03-02 08:00,4.00,0.00,0.00,3.64,7.64,700.00,2298.40
2024-03-02 09:00,4.00,0.00,0.00,3.71,7.71,700.00,2302.60
2024-03-02 10:00,4.00,0.00,0.00,3.64,7.64,700.00,2298.40
2024-03-02 11:00,4.00,0.00,0.00,2.99,6.99,700.00,2259.40
2024-03-02 12:00,4.00,0.00,0.00,2.39,6.39,700.00,2223.40
2024-03-02 13:00,4.00,0.00,0.00,2.22,6.22,700.00,2213.20
2024-03-02 14:00,4.00,0.00,0.00,2.28,6.28,700.00,2216.80
2024-03-02 15:00,4.00,0.00,0.00,2.78,6.78,700.00,2246.80
2024-03-02 16:00,4.00,0.00,0.00,3.01,7.01,700.00,2260.60
