Time,GB1,OB1,GM1,HP1,HeatDemand,CO2,Cost
2024-03-01 02:00,3.48,0.00,3.50,0.00,6.98,2884.00,1809.60
2024-03-01 03:00,3.54,0.00,3.50,0.00,7.04,2894.50,1840.80
2024-03-01 04:00,4.00,0.22,3.50,0.00,7.72,3047.60,2227.40
2024-03-01 05:00,4.00,0.35,3.50,0.00,7.85,3090.50,2314.50
2024-03-01 06:00,4.00,0.65,3.50,0.00,8.15,3189.50,2515.50
2024-03-01 07:00,4.00,0.12,3.50,0.00,7.62,3014.60,2160.40
2024-03-01 08:00,4.00,0.05,3.50,0.00,7.55,2991.50,2113.50
2024-03-01 09:00,4.00,0.10,3.50,0.00,7.60,3008.00,2147.00
2024-03-01 10:00,4.00,0.25,3.50,0.00,7.75,3057.50,2247.50
2024-03-01 11:00,3.56,0.00,3.50,0.00,7.06,2898.00,1851.20
2024-03-01 12:00,3.18,0.00,3.50,0.00,6.68,2831.50,1653.60
2024-03-01 13:00,3.23,0.00,3.50,0.00,6.73,2840.25,1679.60
2024-03-01 14:00,3.34,0.00,3.50,0.00,6.84,2859.50,1736.80
2024-03-01 15:00,3.80,0.00,3.50,0.00,7.30,2940.00,1976.00
2024-03-01 16:00,3.89,0.00,3.50,0.00,7.39,2955.75,2022.80
2024-03-01 17:00,4.00,0.18,3.50,0.00,7.68,3034.40,2200.60
2024-03-01 18:00,3.88,0.00,3.50,0.00,7.38,2954.00,2017.60
2024-03-01 19:00,3.90,0.00,3.50,0.00,7.40,2957.50,2028.00
2024-03-01 20:00,4.00,0.06,3.50,0.00,7.56,2994.80,2120.20
2024-03-01 21:00,4.00,0.19,3.50,0.00,7.69,3037.70,2207.30
2024-03-01 22:00,4.00,0.16,3.50,0.00,7.66,3027.80,2187.20
2024-03-01 23:00,4.00,0.04,3.50,0.00,7.54,2988.20,2106.80
2024-03-02 00:00,4.00,0.08,3.50,0.00,7.58,3001.40,2133.60
2024-03-02 01:00,4.00,0.18,3.50,0.00,7.68,3034.40,2200.60
2024-03-02 02:00,4.00,0.21,3.50,0.00,7.71,3044.30,2220.70
2024-03-02 03:00,4.00,0.20,3.50,0.00,7.70,3041.00,2214.00
2024-03-02 04:00,4.00,0.66,3.50,0.00,8.16,3192.80,2522.20
2024-03-02 05:00,4.00,0.95,3.50,0.00,8.45,3288.50,2716.50
2024-03-02 06:00,4.00,1.01,3.50,0.00,8.51,3308.30,2756.70
2024-03-02 07:00,4.00,0.29,3.50,0.00,7.79,3070.70,2274.30
2024-03-02 08:00,4.00,0.14,3.50,0.00,7.64,3021.20,2173.80
2024-03-02 09:00,4.00,0.21,3.50,0.00,7.71,3044.30,2220.70
2024-03-02 10:00,4.00,0.14,3.50,0.00,7.64,3021.20,2173.80
2024-03-02 11:00,3.49,0.00,3.50,0.00,6.99,2885.75,1814.80
2024-03-02 12:00,2.89,0.00,3.50,0.00,6.39,2780.75,1502.80
2024-03-02 13:00,2.72,0.00,3.50,0.00,6.22,2751.00,1414.40
2024-03-02 14:00,2.78,0.00,3.50,0.00,6.28,2761.50,1445.60
2024-03-02 15:00,3.28,0.00,3.50,0.00,6.78,2849.00,1705.60
2024-03-02 16:00,3.51,0.00,3.50,0.00,7.01,2889.25,1825.20
2024-03-02 17:00,3.68,0.00,3.50,0.00,7.18,2919.00,1913.60
2024-03-02 18:00,3.15,0.00,3.50,0.00,6.65,2826.25,1638.00
2024-03-02 19:00,3.22,0.00,3.50,0.00,6.72,2838.50,1674.40
2024-03-02 20:00,3.36,0.00,3.50,0.00,6.86,2863.00,1747.20
2024-03-02 21:00,3.33,0.00,3.50,0.00,6.83,2857.75,1731.60
2024-03-02 22:00,3.36,0.00,3.50,0.00,6.86,2863.00,1747.20
2024-03-02 23:00,3.28,0.00,3.50,0.00,6.78,2849.00,1705.60
2024-03-03 00:00,3.30,0.00,3.50,0.00,6.80,2852.50,1716.00
2024-03-03 01:00,3.30,0.00,3.50,0.00,6.80,2852.50,1716.00
2024-03-03 02:00,3.32,0.00,3.50,0.00,6.82,2856.00,1726.40
2024-03-03 03:00,3.45,0.00,3.50,0.00,6.95,2878.75,1794.00
2024-03-03 04:00,4.00,0.23,3.50,0.00,7.73,3050.90,2234.10
2024-03-03 05:00,4.00,0.40,3.50,0.00,7.90,3107.00,2348.00
2024-03-03 06:00,4.00,0.61,3.50,0.00,8.11,3176.30,2488.70
2024-03-03 07:00,4.00,0.12,3.50,0.00,7.62,3014.60,2160.40
2024-03-03 08:00,4.00,0.14,3.50,0.00,7.64,3021.20,2173.80
2024-03-03 09:00,3.94,0.00,3.50,0.00,7.44,2964.50,2048.80
2024-03-03 10:00,3.76,0.00,3.50,0.00,7.26,2933.00,1955.20
2024-03-03 11:00,3.53,0.00,3.50,0.00,7.03,2892.75,1835.60
2024-03-03 12:00,3.27,0.00,3.50,0.00,6.77,2847.25,1700.40
2024-03-03 13:00,3.22,0.00,3.50,0.00,6.72,2838.50,1674.40
2024-03-03 14:00,3.40,0.00,3.50,0.00,6.90,2870.00,1768.00
2024-03-03 15:00,3.84,0.00,3.50,0.00,7.34,2947.00,1996.80
2024-03-03 16:00,3.98,0.00,3.50,0.00,7.48,2971.50,2069.60
2024-03-03 17:00,3.95,0.00,3.50,0.00,7.45,2966.25,2054.00
2024-03-03 18:00,3.42,0.00,3.50,0.00,6.92,2873.50,1778.40
2024-03-03 19:00,3.32,0.00,3.50,0.00,6.82,2856.00,1726.40
2024-03-03 20:00,3.28,0.00,3.50,0.00,6.78,2849.00,1705.60
2024-03-03 21:00,3.18,0.00,3.50,0.00,6.68,2831.50,1653.60
2024-03-03 22:00,3.06,0.00,3.50,0.00,6.56,2810.50,1591.20
2024-03-03 23:00,2.96,0.00,3.50,0.00,6.46,2793.00,1956.70
2024-03-04 00:00,2.85,0.00,3.50,0.00,6.35,2773.75,1482.00
2024-03-04 01:00,2.81,0.00,3.50,0.00,6.31,2766.75,1461.20
2024-03-04 02:00,2.87,0.00,3.50,0.00,6.37,2777.25,1492.40
2024-03-04 03:00,2.93,0.00,3.50,0.00,6.43,2787.75,1523.60
2024-03-04 04:00,3.54,0.00,3.50,0.00,7.04,2894.50,1840.80
2024-03-04 05:00,3.46,0.00,3.50,0.00,6.96,2880.50,1799.20
2024-03-04 06:00,3.46,0.00,3.50,0.00,6.96,2880.50,1799.20
2024-03-04 07:00,3.11,0.00,3.50,0.00,6.61,2819.25,1617.20
2024-03-04 08:00,3.32,0.00,3.50,0.00,6.82,2856.00,1726.40
