TimeFrom,GB1,GB2,OB1,HeatDemand
2024-03-03 02:00,4.00,2.82,0.00,6.82
2024-03-03 03:00,4.00,2.95,0.00,6.95
2024-03-03 04:00,4.00,3.00,0.73,7.73
2024-03-03 05:00,4.00,3.00,0.90,7.90
2024-03-03 06:00,4.00,3.00,1.11,8.11
2024-03-03 07:00,4.00,3.00,0.62,7.62
2024-03-03 08:00,4.00,3.00,0.64,7.64
2024-03-03 09:00,4.00,3.00,0.44,7.44
2024-03-03 10:00,4.00,3.00,0.26,7.26
2024-03-03 11:00,4.00,3.00,0.03,7.03
2024-03-03 12:00,4.00,2.77,0.00,6.77
2024-03-03 13:00,4.00,2.72,0.00,6.72
2024-03-03 14:00,4.00,2.90,0.00,6.90
2024-03-03 15:00,4.00,3.00,0.34,7.34
2024-03-03 16:00,4.00,3.00,0.48,7.48
2024-03-03 17:00,4.00,3.00,0.45,7.45
2024-03-03 18:00,4.00,2.92,0.00,6.92
2024-03-03 19:00,4.00,2.82,0.00,6.82
2024-03-03 20:00,4.00,2.78,0.00,6.78
2024-03-03 21:00,4.00,2.68,0.00,6.68
2024-03-03 22:00,4.00,2.56,0.00,6.56
2024-03-03 23:00,4.00,2.46,0.00,6.46
2024-03-04 00:00,4.00,2.35,0.00,6.35
2024-03-04 01:00,4.00,2.31,0.00,6.31
