Summer period,,,
Time from,Time to,Heat Demand,Electricity Price
DKK local time,DKK local time,MWh,DKK / Mwh(el)
11/08/2024 00:00,11/08/2024 01:00,1.79,752.03
11/08/2024 01:00,11/08/2024 02:00,1.85,691.05
11/08/2024 02:00,11/08/2024 03:00,1.76,674.78
11/08/2024 03:00,11/08/2024 04:00,1.67,652.95
11/08/2024 04:00,11/08/2024 05:00,1.73,666.30
11/08/2024 05:00,11/08/2024 06:00,1.79,654.60
11/08/2024 06:00,11/08/2024 07:00,1.82,637.05
11/08/2024 07:00,11/08/2024 08:00,1.81,639.45
11/08/2024 08:00,11/08/2024 09:00,1.84,628.28
11/08/2024 09:00,11/08/2024 10:00,1.88,570.30
11/08/2024 10:00,11/08/2024 11:00,2.00,456.75
11/08/2024 11:00,11/08/2024 12:00,1.86,347.40
11/08/2024 12:00,11/08/2024 13:00,1.78,264.15
11/08/2024 13:00,11/08/2024 14:00,1.60,125.33
11/08/2024 14:00,11/08/2024 15:00,1.57,125.48
11/08/2024 15:00,11/08/2024 16:00,1.55,300.00
11/08/2024 16:00,11/08/2024 17:00,1.57,456.75
11/08/2024 17:00,11/08/2024 18:00,1.53,625.50
11/08/2024 18:00,11/08/2024 19:00,1.52,804.75
11/08/2024 19:00,11/08/2024 20:00,1.50,907.50
11/08/2024 20:00,11/08/2024 21:00,1.50,965.70
11/08/2024 21:00,11/08/2024 22:00,1.48,996.45
11/08/2024 22:00,11/08/2024 23:00,1.51,972.90
11/08/2024 23:00,12/08/2024 00:00,1.55,869.40
12/08/2024 00:00,12/08/2024 01:00,1.54,820.80
12/08/2024 01:00,12/08/2024 02:00,1.47,763.05
12/08/2024 02:00,12/08/2024 03:00,1.41,763.65
12/08/2024 03:00,12/08/2024 04:00,1.43,715.80
12/08/2024 04:00,12/08/2024 05:00,1.43,718.43
12/08/2024 05:00,12/08/2024 06:00,1.45,726.90
12/08/2024 06:00,12/08/2024 07:00,1.47,710.10
12/08/2024 07:00,12/08/2024 08:00,1.50,684.00
12/08/2024 08:00,12/08/2024 09:00,1.62,646.80
12/08/2024 09:00,12/08/2024 10:00,1.70,578.33
12/08/2024 10:00,12/08/2024 11:00,1.74,450.90
12/08/2024 11:00,12/08/2024 12:00,1.68,375.90
12/08/2024 12:00,12/08/2024 13:00,1.58,342.68
12/08/2024 13:00,12/08/2024 14:00,1.45,277.43
12/08/2024 14:00,12/08/2024 15:00,1.43,336.38
12/08/2024 15:00,12/08/2024 16:00,1.42,413.63
12/08/2024 16:00,12/08/2024 17:00,1.47,547.35
12/08/2024 17:00,12/08/2024 18:00,1.46,618.00
12/08/2024 18:00,12/08/2024 19:00,1.50,783.08
12/08/2024 19:00,12/08/2024 20:00,1.50,916.58
12/08/2024 20:00,12/08/2024 21:00,1.44,990.00
12/08/2024 21:00,12/08/2024 22:00,1.45,1005.75
12/08/2024 22:00,12/08/2024 23:00,1.44,990.90
12/08/2024 23:00,13/08/2024 00:00,1.47,897.00
13/08/2024 00:00,13/08/2024 01:00,1.40,843.68
13/08/2024 01:00,13/08/2024 02:00,1.32,765.00
13/08/2024 02:00,13/08/2024 03:00,1.28,707.25
13/08/2024 03:00,13/08/2024 04:00,1.33,689.55
13/08/2024 04:00,13/08/2024 05:00,1.35,699.83
13/08/2024 05:00,13/08/2024 06:00,1.35,788.55
13/08/2024 06:00,13/08/2024 07:00,1.42,912.53
13/08/2024 07:00,13/08/2024 08:00,1.49,995.85
13/08/2024 08:00,13/08/2024 09:00,1.55,1007.03
13/08/2024 09:00,13/08/2024 10:00,1.58,884.63
13/08/2024 10:00,13/08/2024 11:00,1.68,789.60
13/08/2024 11:00,13/08/2024 12:00,1.73,712.43
13/08/2024 12:00,13/08/2024 13:00,1.68,669.23
13/08/2024 13:00,13/08/2024 14:00,1.62,601.20
13/08/2024 14:00,13/08/2024 15:00,1.51,483.53
13/08/2024 15:00,13/08/2024 16:00,1.53,463.58
13/08/2024 16:00,13/08/2024 17:00,1.46,472.05
13/08/2024 17:00,13/08/2024 18:00,1.51,602.70
13/08/2024 18:00,13/08/2024 19:00,1.55,914.78
13/08/2024 19:00,13/08/2024 20:00,1.53,1241.18
13/08/2024 20:00,13/08/2024 21:00,1.50,1319.18
13/08/2024 21:00,13/08/2024 22:00,1.49,1350.53
13/08/2024 22:00,13/08/2024 23:00,1.47,1221.90
13/08/2024 23:00,14/08/2024 00:00,1.57,1002.75
14/08/2024 00:00,14/08/2024 01:00,1.53,933.08
14/08/2024 01:00,14/08/2024 02:00,1.54,868.05
14/08/2024 02:00,14/08/2024 03:00,1.42,789.68
14/08/2024 03:00,14/08/2024 04:00,1.46,755.10
14/08/2024 04:00,14/08/2024 05:00,1.48,747.75
14/08/2024 05:00,14/08/2024 06:00,1.56,845.55
