Winter period,,,,,,,,
Time from,Time to,Heat Demand,  ,,,,,
DKK local time,DKK local time,MWh,DKK / Mwh(el),,,,,
01/03/2024 00:00,01/03/2024 01:00,6.62,1190.94,,,,,
01/03/2024 01:00,01/03/2024 02:00,6.85,1154.55,,,,,
01/03/2024 02:00,01/03/2024 03:00,6.98,1116.22,,,,,
01/03/2024 03:00,01/03/2024 04:00,7.04,1101.12,,,,,
01/03/2024 04:00,01/03/2024 05:00,7.72,1086.24,,,,,
01/03/2024 05:00,01/03/2024 06:00,7.85,1109.53,,,,,
01/03/2024 06:00,01/03/2024 07:00,8.15,1307.40,,,,,
01/03/2024 07:00,01/03/2024 08:00,7.62,1463.30,,,,,
01/03/2024 08:00,01/03/2024 09:00,7.55,1608.78,,,,,
01/03/2024 09:00,01/03/2024 10:00,7.60,1309.70,,,,,
01/03/2024 10:00,01/03/2024 11:00,7.75,952.51,,,,,
01/03/2024 11:00,01/03/2024 12:00,7.06,882.93,,,,,
01/03/2024 12:00,01/03/2024 13:00,6.68,860.31,,,,,
01/03/2024 13:00,01/03/2024 14:00,6.73,854.88,,,,,
01/03/2024 14:00,01/03/2024 15:00,6.84,850.12,,,,,
01/03/2024 15:00,01/03/2024 16:00,7.30,933.09,,,,,
01/03/2024 16:00,01/03/2024 17:00,7.39,953.26,,,,,
01/03/2024 17:00,01/03/2024 18:00,7.68,951.10,,,,,
01/03/2024 18:00,01/03/2024 19:00,7.38,765.21,,,,,
01/03/2024 19:00,01/03/2024 20:00,7.40,716.47,,,,,
01/03/2024 20:00,01/03/2024 21:00,7.56,696.30,,,,,
01/03/2024 21:00,01/03/2024 22:00,7.69,665.34,,,,,
01/03/2024 22:00,01/03/2024 23:00,7.66,663.56,,,,,
01/03/2024 23:00,02/03/2024 00:00,7.54,636.77,,,,,
02/03/2024 00:00,02/03/2024 01:00,7.58,615.31,,,,,
02/03/2024 01:00,02/03/2024 02:00,7.68,588.89,,,,,
02/03/2024 02:00,02/03/2024 03:00,7.71,577.88,,,,,
02/03/2024 03:00,02/03/2024 04:00,7.70,577.66,,,,,
02/03/2024 04:00,02/03/2024 05:00,8.16,583.16,,,,,
02/03/2024 05:00,02/03/2024 06:00,8.45,617.99,,,,,
02/03/2024 06:00,02/03/2024 07:00,8.51,629.23,,,,,
02/03/2024 07:00,02/03/2024 08:00,7.79,689.06,,,,,
02/03/2024 08:00,02/03/2024 09:00,7.64,769.66,,,,,
02/03/2024 09:00,02/03/2024 10:00,7.71,802.85,,,,,
02/03/2024 10:00,02/03/2024 11:00,7.64,781.42,,,,,
02/03/2024 11:00,02/03/2024 12:00,6.99,716.90,,,,,
02/03/2024 12:00,02/03/2024 13:00,6.39,692.56,,,,,
02/03/2024 13:00,02/03/2024 14:00,6.22,678.35,,,,,
02/03/2024 14:00,02/03/2024 15:00,6.28,647.02,,,,,
02/03/2024 15:00,02/03/2024 16:00,6.78,645.53,,,,,
02/03/2024 16:00,02/03/2024 17:00,7.01,650.07,,,,,
02/03/2024 17:00,02/03/2024 18:00,7.18,647.16,,,,,
02/03/2024 18:00,02/03/2024 19:00,6.65,649.70,,,,,
02/03/2024 19:00,02/03/2024 20:00,6.72,638.53,,,,,
02/03/2024 20:00,02/03/2024 21:00,6.86,625.29,,,,,
02/03/2024 21:00,02/03/2024 22:00,6.83,621.34,,,,,
02/03/2024 22:00,02/03/2024 23:00,6.86,624.62,,,,,
02/03/2024 23:00,03/03/2024 00:00,6.78,620.15,,,,,
03/03/2024 00:00,03/03/2024 01:00,6.80,580.99,,,,,
03/03/2024 01:00,03/03/2024 02:00,6.80,592.30,,,,,
03/03/2024 02:00,03/03/2024 03:00,6.82,622.22,,,,,
03/03/2024 03:00,03/03/2024 04:00,6.95,634.79,,,,,
03/03/2024 04:00,03/03/2024 05:00,7.73,659.87,,,,,
03/03/2024 05:00,03/03/2024 06:00,7.90,706.76,,,,,
03/03/2024 06:00,03/03/2024 07:00,8.11,795.76,,,,,
03/03/2024 07:00,03/03/2024 08:00,7.62,1235.88,,,,,
03/03/2024 08:00,03/03/2024 09:00,7.64,1310.52,,,,,
03/03/2024 09:00,03/03/2024 10:00,7.44,1072.23,,,,,
03/03/2024 10:00,03/03/2024 11:00,7.26,847.86,,,,,
03/03/2024 11:00,03/03/2024 12:00,7.03,740.32,,,,,
03/03/2024 12:00,03/03/2024 13:00,6.77,706.46,,,,,
03/03/2024 13:00,03/03/2024 14:00,6.72,671.18,,,,,
03/03/2024 14:00,03/03/2024 15:00,6.90,615.67,,,,,
03/03/2024 15:00,03/03/2024 16:00,7.34,608.60,,,,,
03/03/2024 16:00,03/03/2024 17:00,7.48,597.21,,,,,
03/03/2024 17:00,03/03/2024 18:00,7.45,603.39,,,,,
03/03/2024 18:00,03/03/2024 19:00,6.92,593.12,,,,,
03/03/2024 19:00,03/03/2024 20:00,6.82,578.01,,,,,
03/03/2024 20:00,03/03/2024 21:00,6.78,544.08,,,,,
03/03/2024 21:00,03/03/2024 22:00,6.68,527.93,,,,,
03/03/2024 22:00,03/03/2024 23:00,6.56,499.20,,,,,
03/03/2024 23:00,04/03/2024 00:00,6.46,334.89,,,,,
04/03/2024 00:00,04/03/2024 01:00,6.35,557.82,,,,,
04/03/2024 01:00,04/03/2024 02:00,6.31,577.84,,,,,
